histeq
buckets,10000
bitflips,16
runs,10
loads,438530
bucket_size,43

Architecture:                       x86_64
CPU op-mode(s):                     32-bit, 64-bit
Address sizes:                      48 bits physical, 48 bits virtual
Byte Order:                         Little Endian
CPU(s):                             256
On-line CPU(s) list:                0-255
Vendor ID:                          AuthenticAMD
Model name:                         AMD EPYC 7763 64-Core Processor
CPU family:                         25
Model:                              1
Thread(s) per core:                 2
Core(s) per socket:                 64
Socket(s):                          2
Stepping:                           1
BogoMIPS:                           4891.11
Flags:                              fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ht syscall nx mmxext fxsr_opt pdpe1gb rdtscp lm constant_tsc rep_good nopl nonstop_tsc cpuid extd_apicid aperfmperf rapl pni pclmulqdq monitor ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt aes xsave avx f16c rdrand lahf_lm cmp_legacy svm extapic cr8_legacy abm sse4a misalignsse 3dnowprefetch osvw ibs skinit wdt tce topoext perfctr_core perfctr_nb bpext perfctr_llc mwaitx cpb cat_l3 cdp_l3 invpcid_single hw_pstate ssbd mba ibrs ibpb stibp vmmcall fsgsbase bmi1 avx2 smep bmi2 invpcid cqm rdt_a rdseed adx smap clflushopt clwb sha_ni xsaveopt xsavec xgetbv1 xsaves cqm_llc cqm_occup_llc cqm_mbm_total cqm_mbm_local clzero irperf xsaveerptr rdpru wbnoinvd amd_ppin brs arat npt lbrv svm_lock nrip_save tsc_scale vmcb_clean flushbyasid decodeassists pausefilter pfthreshold v_vmsave_vmload vgif v_spec_ctrl umip pku ospke vaes vpclmulqdq rdpid overflow_recov succor smca
Virtualization:                     AMD-V
L1d cache:                          4 MiB (128 instances)
L1i cache:                          4 MiB (128 instances)
L2 cache:                           64 MiB (128 instances)
L3 cache:                           512 MiB (16 instances)
NUMA node(s):                       8
NUMA node0 CPU(s):                  0-15,128-143
NUMA node1 CPU(s):                  16-31,144-159
NUMA node2 CPU(s):                  32-47,160-175
NUMA node3 CPU(s):                  48-63,176-191
NUMA node4 CPU(s):                  64-79,192-207
NUMA node5 CPU(s):                  80-95,208-223
NUMA node6 CPU(s):                  96-111,224-239
NUMA node7 CPU(s):                  112-127,240-255
Vulnerability Gather data sampling: Not affected
Vulnerability Itlb multihit:        Not affected
Vulnerability L1tf:                 Not affected
Vulnerability Mds:                  Not affected
Vulnerability Meltdown:             Not affected
Vulnerability Mmio stale data:      Not affected
Vulnerability Retbleed:             Not affected
Vulnerability Spec store bypass:    Mitigation; Speculative Store Bypass disabled via prctl
Vulnerability Spectre v1:           Mitigation; usercopy/swapgs barriers and __user pointer sanitization
Vulnerability Spectre v2:           Mitigation; Retpolines, IBPB conditional, IBRS_FW, STIBP always-on, RSB filling, PBRSB-eIBRS Not affected
Vulnerability Srbds:                Not affected
Vulnerability Tsx async abort:      Not affected

bucket_id,error_rate=0/32,error_rate=1/32,error_rate=2/32,error_rate=3/32,error_rate=4/32,error_rate=5/32,error_rate=6/32,error_rate=7/32,error_rate=8/32,error_rate=9/32,error_rate=10/32,error_rate=11/32,error_rate=12/32,error_rate=13/32,error_rate=14/32,error_rate=15/32,
3540,0.0,0.7824143379999999,0.97795761,0.9939748260000002,0.993031247,0.994301793,1.0,0.996228814,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4070,0.0,0.7740007689999999,0.9757440469999998,0.994654544,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3650,0.0,0.8176255459999998,0.972755817,0.985908483,0.997510822,0.9944106359999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3630,0.0,0.8513718529999998,0.9479431359999999,0.9922235239999999,0.989467537,1.0,1.0,1.0,1.0,1.0,0.9988862239999999,1.0,1.0,1.0,1.0,1.0,
3180,0.0,0.8078724340000001,0.963242983,0.9993564770000001,0.984735892,1.0,1.0,1.0,1.0,0.99970392,1.0,1.0,1.0,1.0,1.0,1.0,
3130,0.0,0.8996773490000001,0.9925493339999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3690,0.0,0.8440301439999999,0.9609679980000001,0.9998319569999999,1.0,0.9992841020000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3860,0.0,0.793324125,0.9716958739999999,0.991114689,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3810,0.0,0.7902812260000001,0.978416011,0.994915786,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3470,0.0,0.7677665429999999,0.9846970410000001,0.9987273240000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3410,0.0,0.76681289,0.984021057,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3740,0.0,0.878153087,0.97809548,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3900,0.0,0.7887881579999999,0.985788623,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4000,0.0,0.8101552879999998,0.970256379,0.995903706,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3440,0.0,0.726792779,0.9824810960000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3500,0.0,0.811910056,0.9789468219999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3750,0.0,0.8590994210000001,0.9602340550000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4060,0.0,0.8001241409999998,0.9829246039999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3980,0.0,0.758908974,0.954908387,0.991377641,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3380,0.0,0.734155433,0.9852994990000001,0.990889217,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4330,0.0,0.7757555159999999,0.958563571,0.9850093120000001,1.0,1.0,1.0,1.0,1.0,0.995793001,1.0,1.0,1.0,1.0,1.0,1.0,
3910,0.0,0.8016573970000002,0.9749883770000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3800,0.0,0.883281764,0.9858065999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4490,0.0,0.8849050500000001,0.96660614,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4030,0.0,0.790375607,0.9803659650000001,0.9988016099999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4010,0.0,0.747484505,0.9692813259999999,0.9912998959999999,1.0,1.0,1.0,0.999874548,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3580,0.0,0.791495496,0.992824683,0.99178024,0.9971080879999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9900776419999999,
4100,0.0,0.75458028,0.9756057,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9991315000000001,
3840,0.0,0.8156294729999999,0.973845657,1.0,0.9870597759999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4450,0.0,0.832226157,0.980310233,1.0,0.9970892450000001,0.998597382,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4130,0.0,0.765693746,0.9661324689999999,1.0,0.991300577,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9997212129999999,
3920,0.0,0.7300501070000001,0.9536955450000001,0.9932474790000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9894519450000001,
3710,0.0,0.846748597,0.973766153,1.0,0.994751508,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4400,0.0,0.8102113119999999,0.9741401719999999,0.9852339659999998,0.9978304120000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3950,0.0,0.73518501,0.959382837,0.990211524,1.0,0.9992319030000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4040,0.0,0.7256003480000001,0.9767959420000001,0.990515987,1.0,0.9976970850000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9975306509999999,
4390,0.0,0.789119902,0.9755126040000001,1.0,0.998573317,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4360,0.0,0.792551445,0.9870051609999999,1.0,0.999291315,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4430,0.0,0.867986393,0.9820400359999999,0.999042362,0.9957926669999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.998949545,
3940,0.0,0.7476081099999998,0.9490089580000001,0.9898722000000001,1.0,1.0,1.0,1.0,1.0,0.997075901,1.0,1.0,1.0,1.0,1.0,0.9842291590000001,
4170,0.0,0.7841314599999999,0.9747572019999999,0.9884732420000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999413547,
3720,0.0,0.868208592,0.9585244280000002,0.9807663699999999,0.998801906,0.9976602960000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999908316,
3790,0.0,0.7922304320000001,0.9522183999999999,0.9889533720000001,0.991678737,0.9951212469999999,0.9988922170000001,1.0,1.0,0.996740073,1.0,1.0,1.0,0.994885612,0.998887231,0.991096944,
4560,0.0,0.8005510210000001,0.941988641,1.0,0.9930943190000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.984381855,
4370,0.0,0.8105013719999998,0.9674440719999999,0.996676924,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9910295650000001,
4190,0.0,0.806163415,0.978701201,0.9972831620000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9956966270000001,
4460,0.0,0.874755861,0.977207355,1.0,0.991401897,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4440,0.0,0.835960594,0.975215721,0.9877332400000001,0.990654237,0.995243799,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4480,0.0,0.8330500430000001,0.961912068,0.9991838420000001,0.9917774319999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4110,0.0,0.7676573779999999,0.9711444,0.9988962029999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999388705,
4160,0.0,0.7856101050000001,0.960502176,0.9969435640000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.997800331,
4140,0.0,0.81449689,0.9796917730000001,0.996265403,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3640,0.0,0.8700023079999999,0.9713820039999999,1.0,0.9927511859999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3610,0.0,0.873788105,0.9692269770000002,0.9982720109999998,0.991431212,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3670,0.0,0.8337897590000001,0.9709981620000001,1.0,0.9967442890000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3550,0.0,0.8482284530000002,0.9845265839999999,0.9957921590000002,0.9890648369999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4580,0.0,0.81898987,0.9416130319999999,0.999326508,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3880,0.0,0.781015754,0.9739441299999999,0.997684445,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4260,0.0,0.8178913869999999,0.9436014580000001,0.9870542310000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3460,0.0,0.82309891,0.9921114379999999,1.0,0.996368764,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4540,0.0,0.8294067359999998,0.9668422339999999,1.0,0.986099318,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4290,0.0,0.77629297,0.9510758420000001,0.9970455529999999,1.0,0.995975595,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4230,0.0,0.8061047479999999,0.956866293,0.9917831140000001,0.9914565630000001,0.997387694,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3930,0.0,0.8131180170000001,0.9753275539999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3760,0.0,0.8422391439999999,0.95403542,0.9871993270000001,0.985722588,0.9985024169999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4320,0.0,0.784497097,0.959034745,0.994833423,0.989576839,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4530,0.0,0.7750429679999999,0.944834436,0.9867415939999999,0.984976566,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4020,0.0,0.799435551,0.9917053599999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4340,0.0,0.778130508,0.967490919,0.99448919,0.98824685,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3830,0.0,0.8343184130000001,0.9651294180000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4280,0.0,0.7735804550000001,0.9667176560000001,0.998815413,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4410,0.0,0.8104240600000001,0.944970672,0.9893136840000001,0.9826896489999999,0.9988007119999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4510,0.0,0.866850572,0.970925407,0.99450334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4350,0.0,0.7619766499999999,0.9488798700000001,0.9863958589999999,0.9882838530000001,0.993591872,1.0,0.992200278,1.0,1.0,1.0,0.999752602,1.0,1.0,1.0,1.0,
3960,0.0,0.8210874160000001,0.993764442,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3730,0.0,0.8655774989999999,0.958325233,0.997525978,0.992721167,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4300,0.0,0.8107989449999999,0.978743976,0.9949118,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4050,0.0,0.8241001020000001,0.9904562410000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4270,0.0,0.778296748,0.99749595,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4680,0.0,0.7856815499999998,0.9446088890000001,0.9815477359999999,1.0,0.9945352279999999,1.0,1.0,1.0,1.0,1.0,0.9995530020000001,1.0,1.0,1.0,1.0,
3820,0.0,0.751626433,0.9626073190000002,0.994065872,1.0,0.994612158,1.0,1.0,1.0,0.99631849,1.0,1.0,1.0,1.0,1.0,1.0,
4630,0.0,0.781120016,0.9719522420000001,0.9914739899999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4470,0.0,0.8449141069999999,0.9767804739999999,1.0,0.991768031,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4710,0.0,0.7586577090000001,0.945102936,0.9908030099999999,0.9962743780000001,1.0,1.0,1.0,0.996306054,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3990,0.0,0.8139716650000001,0.996843425,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4420,0.0,0.797813707,0.9710104660000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4200,0.0,0.7521617650000001,0.964923032,0.986937932,0.9932835900000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4220,0.0,0.7858210129999998,0.9905560470000001,1.0,0.9917673520000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4150,0.0,0.786104141,0.9918264539999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3770,0.0,0.8679301349999999,0.9870449350000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4670,0.0,0.764456306,0.982216163,0.999394302,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4520,0.0,0.854899902,0.9882227589999999,0.994622962,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4590,0.0,0.766223924,0.9597932720000001,0.985286552,0.998252398,1.0,1.0,1.0,1.0,0.997485977,1.0,1.0,1.0,1.0,1.0,1.0,
4570,0.0,0.868603871,0.9904961909999999,0.998783663,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4550,0.0,0.8136037309999999,0.977663733,0.9993304459999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4620,0.0,0.7665183590000001,0.9581061820000001,0.991372642,0.9957090469999998,0.98738681,1.0,1.0,1.0,0.993999415,1.0,1.0,1.0,0.9988431739999999,0.9938527589999999,0.991298364,
4120,0.0,0.762782039,0.989270031,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4640,0.0,0.7751719650000001,0.955489565,0.9772634800000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4610,0.0,0.7842072800000002,0.967318674,0.991044501,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4080,0.0,0.809338786,0.9804031910000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4740,0.0,0.752658549,0.96947724,0.978803506,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.992861763,
4240,0.0,0.7668243809999999,0.982723973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4770,0.0,0.7707838199999999,0.9698997219999999,0.9737644169999999,1.0,0.9984949999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4870,0.0,0.7745501130000001,0.942264735,0.9943552839999998,0.9915122459999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9876384189999999,
4730,0.0,0.81913171,0.9611417719999998,0.9915448720000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4380,0.0,0.8166374240000002,0.9589689619999999,0.9924812080000001,0.996759123,0.998920923,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9993355210000001,
4210,0.0,0.773208968,0.9777644710000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3850,0.0,0.769936323,0.9638131529999999,0.994357011,1.0,0.9923724140000001,1.0,0.9978480810000001,1.0,1.0,0.998939959,1.0,0.999286358,1.0,0.998367752,0.9969433630000001,
4180,0.0,0.7526823279999999,0.9656414720000001,0.9980058320000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4310,0.0,0.82242159,0.979055172,1.0,0.9933000530000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9948215600000001,
4090,0.0,0.767802436,0.9699413640000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4660,0.0,0.7999324569999999,0.968561663,0.9939238400000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9979374530000001,
4250,0.0,0.8078269749999999,0.974577809,1.0,0.987655109,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9871980390000001,
4500,0.0,0.7940831859999999,0.9465329199999999,1.0,1.0,1.0,1.0,1.0,1.0,0.9991047120000001,1.0,1.0,1.0,1.0,1.0,0.982383843,
4690,0.0,0.7164739689999999,0.960188007,0.9960151939999999,1.0,1.0,1.0,1.0,1.0,0.99969642,1.0,1.0,1.0,1.0,1.0,0.992914019,
4650,0.0,0.760590472,0.9340474009999999,0.979214561,1.0,1.0,1.0,1.0,1.0,0.997919375,1.0,1.0,1.0,1.0,1.0,0.995862041,
4760,0.0,0.77629106,0.974221185,0.998486149,1.0,0.995384913,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4750,0.0,0.722589078,0.9470517810000001,0.9816258829999999,0.999760725,1.0,0.9989357240000001,0.999544978,1.0,1.0,0.997051639,1.0,0.996772748,1.0,0.99887299,1.0,
4800,0.0,0.784471717,0.9488700690000001,0.9794584000000001,0.9881245100000001,1.0,1.0,0.998309455,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4840,0.0,0.7625415229999999,0.956785508,0.9912643979999999,0.9956324970000001,0.9982277070000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4830,0.0,0.7901501710000001,0.937592117,0.986966203,0.9864505610000001,1.0,1.0,0.995908866,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4900,0.0,0.769921596,0.927766639,0.9969003909999999,0.9915798499999999,0.9890764510000001,0.999686273,1.0,1.0,1.0,1.0,1.0,0.996272834,1.0,1.0,1.0,
4700,0.0,0.729299546,0.9252458079999999,0.98910546,1.0,0.9970504649999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4780,0.0,0.7608799350000001,0.937492694,0.9991156139999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99664967,0.9968672489999999,
4860,0.0,0.7665336700000001,0.957444832,0.9914915709999998,0.994118748,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4600,0.0,0.828192925,0.972947958,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4720,0.0,0.715436182,0.948899911,0.9721457619999999,0.999867339,0.9958523469999999,0.999939861,0.998908629,1.0,1.0,1.0,1.0,1.0,1.0,0.99908204,1.0,
4790,0.0,0.810145275,0.97881154,0.9967254520000001,0.997477984,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4910,0.0,0.730427554,0.9613337640000001,0.996418112,0.999361433,0.999317909,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4880,0.0,0.8175965359999999,0.991567287,0.9962884479999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4810,0.0,0.7869044669999999,0.9524543869999998,0.985536278,0.9797974400000001,1.0,0.999394491,1.0,1.0,1.0,0.999096462,0.9961136249999999,1.0,1.0,1.0,1.0,
4850,0.0,0.817991943,0.990806115,1.0,0.9974993699999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4890,0.0,0.8182688739999999,0.963945425,1.0,1.0,0.9999620050000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4820,0.0,0.773818321,0.997588039,0.991498784,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9955355669999999,
4990,0.0,0.7775122909999999,0.943616207,0.988983582,0.989621496,0.997852366,0.99948275,1.0,1.0,1.0,1.0,1.0,0.998029987,1.0,1.0,0.9937264970000002,
4920,0.0,0.7769707659999999,0.955430851,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4930,0.0,0.729093741,0.9411309689999998,0.995494716,1.0,0.9981488299999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4960,0.0,0.772296446,0.9335671909999999,0.982399384,0.9978864709999999,1.0,1.0,1.0,0.998576641,1.0,0.9975215119999999,1.0,1.0,1.0,1.0,1.0,
4940,0.0,0.7371328869999999,0.894335531,0.990626493,1.0,1.0,1.0,1.0,1.0,1.0,0.9995214020000001,1.0,1.0,1.0,0.9989518690000001,0.9975549820000001,
4950,0.0,0.7855407879999999,0.9805445660000001,0.998006119,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4980,0.0,0.7560040410000001,0.9800879900000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4970,0.0,0.742107667,0.9197111979999999,0.9733401479999999,0.993659839,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9994941369999999,1.0,1.0,1.0,
5020,0.0,0.822661328,0.9560058290000001,0.9863009720000001,0.9847420010000001,1.0,1.0,0.998360881,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
5000,0.0,0.755858914,0.904468566,0.9815818550000002,0.99929044,0.994841389,1.0,1.0,0.999033869,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
5010,0.0,0.811995781,0.9867850170000001,0.997478646,0.9984293300000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
5060,0.0,0.8238609709999999,0.947066146,0.991081765,0.994983932,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.995914234,
5040,0.0,0.7980925999999999,0.9542954980000001,0.997298207,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
5050,0.0,0.7952978479999999,0.9290512759999998,0.986639418,0.9946720040000001,0.997317267,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
5030,0.0,0.780804253,0.9388333299999999,0.999396576,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
5070,0.0,0.8291745240000001,0.939960114,1.0,0.990035644,0.9978924280000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
5080,0.0,0.768380227,0.903972534,0.9926719899999998,0.9960005559999999,0.9984701859999999,1.0,1.0,1.0,0.992476111,1.0,1.0,1.0,1.0,1.0,0.997218745,
